richness_herb,veg_type,COV_TREES,COV_SHRUBS,cov_evergreen,SOIL_DEPTH,PH,hli_data,mean_annual_temp,annual_prec,prec_warm,tri
41,mixed deciduous,75,5,1.4925125,12,6.34,0.7035977808349462,11.950000000000044,3100.1000000000004,313.90000000000003,25.657550811767575
37,mixed deciduous,45,15,21.58803995,22,6.09,0.9921595704732497,13.550000000000011,2257.9,224.1,22.36846923828125
28,mixed deciduous,60,15,4.447737125,30,5.2,0.9358137407050428,14.850000000000025,2039.4,197,13.809351921081545
36,mixed deciduous,50,25,40.2798357,16,6.24,0.789926607,14.250000000000057,2266.9,208.8,4.899016380310059
45,mixed deciduous,30,50,12.792029585085125,8,6.37,0.989208383330898,14.350000000000025,2343,216.9,12.594131469726564
112,mixed deciduous,60,3,0,17,6.3,1.002951474858072,11.150000000000034,2790.1000000000004,261,8.418944358825684
20,mixed deciduous,30,70,56.203909822151715,7,6.95,0.6947712038593978,16.850000000000023,1592.8000000000002,157.3,14.284442901611328
16,evergreen oak,60,60,64.66720832949267,9,6.84,0.6262904752547699,16.650000000000034,1317.9,132.20000000000002,10.011112213134766
15,evergreen oak,85,15,97.41389630951848,15,6.43,0.8956879993235876,16.650000000000034,1338.3000000000002,132.9,19.103092193603516
20,mixed deciduous,85,3,36.6384,17,7,0.770157886,14.850000000000025,2470.8,243.7,36.086177825927734
25,mixed deciduous,80,2,0.5,14,6.15,0.7987826498341867,11.250000000000057,2362.5,247.5,17.75883674621582
24,mixed deciduous,50,50,0.5,NA,7.03,0.958120107,10.750000000000057,2516.8,269.40000000000003,19.505809783935547
33,mixed deciduous,40,30,20,15,6.78,0.9660126184988158,11.350000000000025,3489.7000000000003,353.90000000000003,11.753429412841797
23,beech,80,1,0,15,6.64,0.903981125,9.950000000000044,3618.4,363.8,14.082940101623535
10,beech,80,20,0,21,5.55,0.8922118079204175,10.350000000000025,3565.1000000000004,357.70000000000005,4.264125347137451
52,mixed deciduous,40,15,3.967575,11,6.82,0.7898260343596313,10.150000000000034,3579.3,370.7000000000001,6.392012596130371
46,mixed deciduous,65,25,10,15,6.45,1.0279619273897782,10.650000000000034,3151.8,332.1,19.84450340270996
48,mixed deciduous,70,35,0,13,6.22,0.9705768982536304,14.350000000000025,1792.1,167.10000000000002,23.696258544921875
45,mixed deciduous,40,85,3.967575,18,5.85,0.7295647674639033,12.850000000000025,1933.7,185.6,34.68382263183594
25,mixed deciduous,50,5,10,11,4.87,0.9374076288340965,12.950000000000044,2159.4,214.3,4.716516494750977
40,mixed deciduous,70,3,1.4925125,18,5.9,0.6151275159876515,12.950000000000044,2159.4,214.3,4.716516494750977
29,mixed deciduous,70,70,17.41496034,14,5.86,0.9578994583642012,15.250000000000057,2020.4,192.8,15.35501766204834
27,mixed deciduous,85,50,11.343261249999998,25,6.13,0.9467966354159376,15.250000000000057,2356.7000000000003,229.9,15.006386756896973
41,mixed deciduous,90,10,9.733448226,18,6.84,0.7164841212404455,15.250000000000057,2356.7000000000003,229.9,39.23086166381836
30,beech,65,4,0,8,6.37,0.8999421005455923,7.850000000000023,2305.2000000000003,274.8,5.269017219543457
66,mixed deciduous,65,25,0,14,5.73,0.8870926630871007,8.350000000000023,2317.5,271.90000000000003,12.863595962524414
91,mixed deciduous,50,5,0,13,7.1,0.9316820298401952,10.650000000000034,2196.8,250.9,4.845499038696289
9,evergreen oak,45,30,48.71087856898613,10,7.03,0.9693061479375272,16.650000000000034,2627.8,252.8,10.005134582519531
19,mixed deciduous,50,70,44.09025092600496,30,6.39,0.9348394306242376,15.750000000000057,2856.9,295,33.64013672
41,mixed deciduous,65,25,1.4925125,8,6.06,0.7924237454157558,11.650000000000034,2726.7000000000003,289.1,13.412124633789064
13,beech,65,25,0,13,6.02,0.5480236769987615,9.150000000000034,3532.3,350.8,9.983892440795898
36,mixed deciduous,50,35,3.581515,4,6.72,0.9486016611359775,14.050000000000011,2309.9,235.4,30.459692001342773
